Order,ID,Theatre,Name,Original_Revival,Play_Musical,Genre,Sub_Genre,Opening,Closing,Performance Count,Cast Size,Capacity
1,MASTERHAROLD…andtheboys2003,Bernard B. Jacobs ,MASTER HAROLD…and the boys,Revival,Play,Drama,,"Jun 01, 2003","Jul 13, 2003",49,5,1078
2,"night,Mother1983",John Golden ,"night, Mother",Original,Play,,,"Mar 31, 1983","Feb 26, 1984",380,4,805
3,"night,Mother2004",Bernard B. Jacobs ,"night, Mother",Revival,Play,Drama,,"Nov 14, 2004","Jan 09, 2005",65,4,1078
4,[titleofshow]2008,Lyceum ,[title of show],Original,Musical,Comedy,,"Jul 17, 2008","Oct 12, 2008",102,6,922
5,110intheShade2007,Studio 54,110 in the Shade,Revival,Musical,,,"May 09, 2007","Jul 29, 2007",94,17,1006
6,132008,Bernard B. Jacobs ,13,Original,Musical,Comedy,,"Oct 05, 2008","Jan 04, 2009",105,19,1078
7,17761997,Gershwin ,1776,Revival,Musical,Comedy,History,"Aug 14, 1997","Jun 14, 1998",333,32,1933
8,19842017,Hudson ,1984,Original,Play,Drama,,"Jun 22, 2017","Oct 08, 2017",125,15,970
9,3PennyOpera1989,Lunt-Fontanne ,3 Penny Opera,Revival,Musical,Drama,,"Nov 05, 1989","Dec 31, 1989",65,27,1519
10,33Variations2009,Eugene O'Neill ,33 Variations,Original,Play,Drama,Play with music,"Mar 09, 2009","May 21, 2009",85,12,1066
11,42ndStreet1980,St. James ,42nd Street,Original,Musical,Comedy,,"Aug 25, 1980","Jan 08, 1989",3486,52,1709
12,42ndStreet2001,Lyric ,42nd Street,Revival,Musical,Comedy,,"May 02, 2001","Jan 02, 2005",1524,53,1938
13,45SecondsFromBroadway2001,Richard Rodgers ,45 Seconds From Broadway,Original,Play,Comedy,,"Nov 11, 2001","Jan 13, 2002",73,20,1400
14,700Sundays2004,Broadhurst ,700 Sundays,Original,Play,Solo,,"Dec 05, 2004","Jun 12, 2005",163,1,1186
15,700Sundays2013,Imperial ,700 Sundays,Original,Play,Solo,,"Nov 13, 2013","Jan 05, 2014",46,1,1443
16,9to52009,Marquis ,9 to 5,Original,Musical,Comedy,,"Apr 30, 2009","Sep 06, 2009",148,30,1612
17,ABehandinginSpokane2010,Gerald Schoenfeld ,A Behanding in Spokane,Original,Play,Comedy,,"Mar 04, 2010","Jun 06, 2010",108,8,1079
18,ABronxTale2007,Walter Kerr ,A Bronx Tale,Original,Special,Solo,,"Oct 25, 2007","Feb 24, 2008",111,1,945
19,ACateredAffair2008,Walter Kerr ,A Catered Affair,Original,Musical,,,"Apr 17, 2008","Jul 27, 2008",116,14,945
20,AChangeintheHeir1990,Edison ,A Change in the Heir,Original,Musical,Comedy,,"Apr 29, 1990","May 13, 1990",23,12,541
21,AChorusLine1975,Shubert ,A Chorus Line,Original,Musical,Drama,,"Jul 25, 1975","Apr 28, 1990",6137,28,1460
22,AChorusLine2006,Gerald Schoenfeld ,A Chorus Line,Revival,Musical,Drama,,"Oct 05, 2006","Aug 17, 2008",759,29,1079
23,AChristmasCarol1991,Eugene O'Neill ,A Christmas Carol,Original,Play,Solo,,"Dec 19, 1991","Dec 29, 1991",14,1,1066
24,AChristmasCarol1992,Broadhurst ,A Christmas Carol,Revival,Play,Solo,,"Dec 17, 1992","Jan 03, 1993",22,1,1186
25,AChristmasCarol1994,Richard Rodgers ,A Christmas Carol,Revival,Play,Solo,,"Dec 22, 1994","Jan 08, 1995",18,1,1400
26,AChristmasCarol2001,Marquis ,A Christmas Carol,Revival,Play,Solo,,"Dec 24, 2001","Dec 30, 2001",8,1,1612
27,AChristmasStoryTheMusical2012,Lunt-Fontanne ,A Christmas Story The Musical,Original,Musical,Comedy,,"Nov 19, 2012","Dec 30, 2012",51,33,1519
28,AClassAct2001,Ambassador ,A Class Act,Original,Musical,,,"Mar 11, 2001","Jun 10, 2001",105,12,1125
29,ADayintheDeathofJoeEgg2003,American Airlines ,A Day in the Death of Joe Egg,Revival,Play,Comedy,,"Apr 03, 2003","Jun 01, 2003",69,12,740
30,ADelicateBalance1996,Gerald Schoenfeld ,A Delicate Balance,Revival,Play,Drama,,"Apr 21, 1996","Sep 29, 1996",185,10,1079
31,ADelicateBalance2014,John Golden ,A Delicate Balance,Revival,Play,Drama,,"Nov 20, 2014","Feb 22, 2015",108,10,805
32,ADoll'sHouse1997,Belasco ,A Doll's House,Revival,Play,Drama,,"Apr 02, 1997","Aug 31, 1997",150,11,1018
33,"ADoll'sHouse,Part22017",John Golden ,"A Doll's House, Part 2",Original,Play,Drama,,"Apr 27, 2017","Sep 24, 2017",172,8,805
34,AFewGoodMen1989,Music Box ,A Few Good Men,Original,Play,Drama,,"Nov 15, 1989","Jan 26, 1991",497,21,1009
35,AFreeManofColor2010,Vivian Beaumont ,A Free Man of Color,Original,Play,Drama,,"Nov 18, 2010","Jan 09, 2011",61,32,1080
36,AFunnyThingHappenedontheWaytotheForum1996,St. James ,A Funny Thing Happened on the Way to the Forum,Revival,Musical,Comedy,Farce,"Apr 18, 1996","Jan 04, 1998",715,27,1709
37,AGentleman'sGuidetoLove&Murder2013,Walter Kerr ,A Gentleman's Guide to Love & Murder,Original,Musical,Comedy,,"Nov 17, 2013","Jan 17, 2016",905,15,945
38,AGrandNightforSinging1993,Criterion Center Stage Right,A Grand Night for Singing,Original,Musical,Revue,,"Nov 17, 1993","Jan 01, 1994",52,7,499
39,ALifeintheTheatre2010,Gerald Schoenfeld ,A Life in the Theatre,Original,Play,Comedy,,"Oct 12, 2010","Nov 28, 2010",56,4,1079
40,ALittleHotelontheSide1992,Belasco ,A Little Hotel on the Side,Original,Play,,,"Jan 26, 1992","Mar 01, 1992",41,34,1018
41,ALittleNightMusic2009,Walter Kerr ,A Little Night Music,Revival,Musical,Romantic Comedy,,"Dec 13, 2009","Jan 09, 2011",425,20,945
42,AManforAllSeasons2008,American Airlines ,A Man for All Seasons,Revival,Play,,,"Oct 07, 2008","Dec 14, 2008",73,22,740
43,AMidsummerNight'sDream1996,Lunt-Fontanne ,A Midsummer Night's Dream,Revival,Play,Comedy,,"Mar 31, 1996","May 26, 1996",65,19,1519
44,AMonthintheCountry1995,Criterion Center Stage Right,A Month in the Country,Revival,Play,,,"Apr 25, 1995","Jun 10, 1995",55,19,499
45,AMoonfortheMisbegotten1984,Cort ,A Moon for the Misbegotten,Revival,Play,Drama,,"May 01, 1984","Jun 09, 1984",40,8,1084
46,AMoonfortheMisbegotten2000,Walter Kerr ,A Moon for the Misbegotten,Revival,Play,Drama,,"Mar 19, 2000","Jul 02, 2000",120,7,945
47,AMoonfortheMisbegotten2007,Brooks Atkinson ,A Moon for the Misbegotten,Revival,Play,Drama,,"Apr 09, 2007","Jun 10, 2007",71,7,1094
48,ANakedGirlontheAppianWay2005,American Airlines ,A Naked Girl on the Appian Way,Original,Play,,,"Oct 06, 2005","Dec 04, 2005",69,13,740
49,ANightwithJanisJoplin2013,Lyceum ,A Night with Janis Joplin,Original,Musical,,,"Oct 10, 2013","Feb 09, 2014",140,8,922
50,ARaisinintheSun2004,Bernard B. Jacobs ,A Raisin in the Sun,Revival,Play,Drama,,"Apr 26, 2004","Jul 11, 2004",88,16,1078
51,ARaisinintheSun2014,Ethel Barrymore ,A Raisin in the Sun,Revival,Play,Drama,,"Apr 03, 2014","Jun 15, 2014",85,17,1096
52,ASmallFamilyBusiness1992,Music Box ,A Small Family Business,Original,Play,,,"Apr 27, 1992","Jun 07, 1992",48,21,1009
53,ASteadyRain2009,Gerald Schoenfeld ,A Steady Rain,Original,Play,,,"Sep 29, 2009","Dec 06, 2009",80,4,1079
54,AStreetcarNamedDesire1988,Circle in the Square ,A Streetcar Named Desire,Revival,Play,Drama,,"Mar 10, 1988","May 22, 1988",84,18,840
55,AStreetcarNamedDesire1992,Ethel Barrymore ,A Streetcar Named Desire,Revival,Play,Drama,,"Apr 12, 1992","Aug 09, 1992",137,17,1096
56,AStreetcarNamedDesire2005,Studio 54,A Streetcar Named Desire,Revival,Play,Drama,,"Apr 26, 2005","Jul 03, 2005",73,17,1006
57,AStreetcarNamedDesire2012,Broadhurst ,A Streetcar Named Desire,Revival,Play,Drama,,"Apr 22, 2012","Jul 22, 2012",105,14,1186
58,ATaleofTwoCities2008,Al Hirschfeld ,A Tale of Two Cities,Original,Musical,Drama,,"Sep 18, 2008","Nov 09, 2008",60,38,1424
59,AThousandClowns1996,Criterion Center Stage Right,A Thousand Clowns,Revival,Play,,,"Jul 14, 1996","Aug 10, 1996",32,9,499
60,AThousandClowns2001,Longacre ,A Thousand Clowns,Revival,Play,Comedy,,"Jul 11, 2001","Sep 23, 2001",83,10,1091
61,ATimetoKill2013,John Golden ,A Time to Kill,Original,Play,Drama,Thriller,"Oct 20, 2013","Nov 17, 2013",33,17,805
62,ATouchofthePoet2005,Studio 54,A Touch of the Poet,Revival,Play,Drama,,"Dec 08, 2005","Jan 29, 2006",50,13,1006
63,ATunaChristmas1994,Booth ,A Tuna Christmas,Original,Play,Comedy,,"Dec 15, 1994","Jan 01, 1995",20,4,766
64,AViewFromtheBridge1997,Criterion Center Stage Right,A View From the Bridge,Revival,Play,Drama,,"Dec 14, 1997","Aug 30, 1998",239,33,499
65,AViewFromtheBridge2010,Cort ,A View From the Bridge,Revival,Play,Drama,,"Jan 24, 2010","Apr 04, 2010",81,16,1084
66,AViewFromtheBridge2015,Lyceum ,A View From the Bridge,Revival,Play,Drama,,"Nov 12, 2015","Feb 21, 2016",115,12,922
67,AWalkintheWoods1988,Booth ,A Walk in the Woods,Original,Play,,,"Feb 28, 1988","Jun 26, 1988",137,4,766
68,AWomanofIndependentMeans1984,Samuel J. Friedman ,A Woman of Independent Means,Original,Play,Solo,,"May 03, 1984","May 13, 1984",13,1,650
69,AYearWithFrogandToad2003,Cort ,A Year With Frog and Toad,Original,Musical,Comedy,Fantasy,"Apr 13, 2003","Jun 15, 2003",73,7,1084
70,AbeLincolninIllinois1993,Vivian Beaumont ,Abe Lincoln in Illinois,Revival,Play,Drama,,"Nov 29, 1993","Jan 02, 1994",40,49,1080
71,AbsurdPersonSingular2005,Samuel J. Friedman ,Absurd Person Singular,Revival,Play,Comedy,,"Oct 18, 2005","Dec 04, 2005",56,10,650
72,AccentonYouth2009,Samuel J. Friedman ,Accent on Youth,Revival,Play,Comedy,,"Apr 29, 2009","Jun 28, 2009",71,13,650
73,AccidentalDeathofanAnarchist1984,Belasco ,Accidental Death of an Anarchist,Original,Play,,,"Nov 15, 1984","Dec 01, 1984",20,10,1018
74,Accomplice1990,Richard Rodgers ,Accomplice,Original,Play,Comedy,Thriller,"Apr 26, 1990","Jun 10, 1990",52,8,1400
75,ActOne2014,Vivian Beaumont ,Act One,Original,Play,,,"Apr 17, 2014","Jun 15, 2014",67,22,1080
76,AfterMidnight2013,Brooks Atkinson ,After Midnight,Original,Musical,Revue,,"Nov 03, 2013","Jun 29, 2014",273,29,1094
77,AfterMissJulie2009,American Airlines ,After Miss Julie,Original,Play,Drama,,"Oct 22, 2009","Dec 06, 2009",53,8,740
78,AfterTheFall2004,American Airlines ,After The Fall,Revival,Play,Drama,,"Jul 29, 2004","Sep 12, 2004",53,15,740
79,AftertheNightandtheMusic2005,Samuel J. Friedman ,After the Night and the Music,Original,Play,Comedy,,"Jun 01, 2005","Jul 03, 2005",38,9,650
80,"Ah,Wilderness!1988",Neil Simon ,"Ah, Wilderness!",Revival,Play,Comedy,,"Jun 23, 1988","Jul 23, 1988",13,18,1467
81,"Ah,Wilderness!1998",Vivian Beaumont ,"Ah, Wilderness!",Revival,Play,Comedy,,"Mar 18, 1998","May 03, 1998",54,20,1080
82,Aida2000,Palace ,Aida,Original,Musical,Drama,,"Mar 23, 2000","Sep 05, 2004",1852,31,1743
83,Ain'tBroadwayGrand1993,Lunt-Fontanne ,Ain't Broadway Grand,Original,Musical,Comedy,,"Apr 18, 1993","May 09, 1993",25,35,1519
84,Ain'tMisbehavin'1988,Ambassador ,Ain't Misbehavin',Revival,Musical,Revue,,"Aug 15, 1988","Jan 15, 1989",176,9,1125
85,AirlineHighway2015,Samuel J. Friedman ,Airline Highway,Original,Play,,,"Apr 23, 2015","Jun 07, 2015",53,16,650
86,AllAboutMe2010,Stephen Sondheim ,All About Me,Original,Musical,,,"Mar 18, 2010","Apr 04, 2010",20,6,1055
